Date,Asie,Europe,Amérique du Nord,Amérique du Sud,Océanie,Afrique
1900,0,0,0,0,0,0
1901,0,0,0,0,0,0
1902,0,0,0,0,0,0
1903,0,0,0,0,0,0
1904,0,0,0,0,0,0
1905,0,0,0,0,0,0
1906,0,0,0,0,0,0
1907,0,0,0,0,0,0
1908,0.142857143,0,0,0,0,0
1909,0.142857143,0,0,0,0,0
1910,0.142857143,0,0,0,0,0
1911,0.142857143,0,0,0,0,0
1912,0.285714286,0,0,0,0,0
1913,0.285714286,0,0,0,0,0
1914,0.285714286,0,0,0,0,0
1915,0.142857143,0,0,0,0,0
1916,0.285714286,0,0,0,0,0
1917,0.285714286,0,0,0,0,0
1918,0.714285714,0,0,0,0,0
1919,2.142857143,0,0,0,0,0
1920,2.142857143,0,0,0,0,0
1921,3.428571429,0,0,0,0,0
1922,5.571428571,0,0,0,0,0
1923,7.571428571,0,0,0,0,0
1924,11.14285714,0,0,0,0,0
1925,14.28571429,0,0,0,0,0
1926,16.42857143,0,0,0,0,0
1927,21.85714286,0,0,0,0,0
1928,26.71428571,0,0,0,0,0
1929,31.14285714,0,0,0,0,0
1930,35.57142857,0,0,0,0,0
1931,40.14285714,0,0,0,0,0
1932,45.85714286,0,0,0,0,0
1933,51.57142857,0,0,0,0,0
1934,56.42857143,0,0,0,0,0
1935,60.71428571,0,0,0,0,0
1936,66.42857143,0,0,0,0,0
1937,72.57142857,0,0,0,0,0
1938,78.28571429,0,0,0,0,0
1939,84.42857143,0,0,0,0,0
1940,88.85714286,0,0,0,0,0
1941,115,0,0,0,0,0
1942,106.4285714,0,0,0,0,0
1943,114.5714286,0.142857143,0,0,0,0
1944,122.1428571,0.142857143,0,0,0,0
1945,123.4285714,0.142857143,0,0,0,0
1946,122,0.142857143,0,0,0,0
1947,128,0.142857143,0,0,0,0
1948,107.8571429,0.142857143,0,0,0,0
1949,123,0.142857143,0,0,0,0
1950,118.5714286,0,0,0,0,0
1951,112.8571429,0.285714286,0,0,0,0
1952,119.8571429,0.285714286,0,0,0,0
1953,116.5714286,0.857142857,0,0,0,0
1954,105,1.571428571,0,0,0,0
1955,93.85714286,1.857142857,0,0,0,0
1956,84.28571429,2.571428571,0,0,0,0
1957,76.57142857,3.142857143,0,0,0,0
1958,68.85714286,4,0.142857143,0,0.142857143,0
1959,55.14285714,5,0.285714286,0,0.142857143,0
1960,51.57142857,7,0.857142857,0,0.142857143,0
1961,50.71428571,10.42857143,1.285714286,0,0.142857143,0
1962,52.57142857,14.14285714,1.571428571,0,0.285714286,0
1963,52.85714286,20.14285714,1.714285714,0,0.285714286,0
1964,51.28571429,27.42857143,2,0,0.285714286,0
1965,52.14285714,31.71428571,2.285714286,0.142857143,0.285714286,0
1966,54.85714286,51.42857143,2.714285714,0.142857143,0.285714286,0.142857143
1967,57,68.28571429,3,0.142857143,0.285714286,0.142857143
1968,61.85714286,90.28571429,3,0.142857143,0.285714286,0.142857143
1969,67.42857143,119.8571429,3,0.142857143,0.142857143,0.285714286
1970,72.28571429,148.5714286,4.285714286,0.285714286,0.142857143,0.571428571
1971,82.14285714,185.4285714,5,0.571428571,0.142857143,0.714285714
1972,90.28571429,214,6,0.571428571,0,0.857142857
1973,98.42857143,278.1428571,7.285714286,0.571428571,0.285714286,1
1974,110.5714286,320,9.142857143,0.571428571,0.285714286,1
1975,121.4285714,380.4285714,12.57142857,0.714285714,0.285714286,1.571428571
1976,132.7142857,449.8571429,18.71428571,1.285714286,0.428571429,2
1977,146.8571429,535.7142857,17.42857143,1.857142857,0.428571429,1.857142857
1978,155.5714286,641.7142857,33.28571429,3.142857143,0.571428571,2.714285714
1979,164.5714286,809.7142857,44.57142857,4.571428571,0.714285714,4.142857143
1980,172,910,61.71428571,6.857142857,0.428571429,5.142857143
1981,175.1428571,1056.857143,77.28571429,9,0.428571429,6.285714286
1982,174.7142857,1234,104.7142857,12.71428571,0.571428571,7.428571429
1983,178.4285714,1429.285714,135.8571429,14.71428571,0.857142857,8
1984,186.1428571,1622.571429,172.5714286,18.85714286,1.142857143,9.571428571
1985,189.8571429,1860.714286,219.7142857,21.57142857,1,11.28571429
1986,197.2857143,2044.142857,279.7142857,25.28571429,1.142857143,12.71428571
1987,199.1428571,2218.857143,310,29.28571429,1.428571429,14.14285714
1988,205.8571429,2424.142857,392.8571429,33.85714286,1.857142857,16.28571429
1989,216.7142857,2640,495.5714286,40.42857143,2.142857143,17.85714286
1990,228.8571429,2824,615.4285714,54.14285714,2,21.71428571
1991,236.5714286,3021.142857,717,60.14285714,2,24.57142857
1992,229,3366.142857,821.7142857,71,3.142857143,28.85714286
1993,260.1428571,3560.285714,953.7142857,84.71428571,3.428571429,36.42857143
1994,278.4285714,3624,1081,91.14285714,3.428571429,41.57142857
1995,287,3695.857143,1184,100.4285714,3.857142857,44.42857143
1996,298.5714286,3946.857143,1336.428571,115.5714286,4,47.57142857
1997,300,4017.714286,1469.142857,126.2857143,4.428571429,49.85714286
1998,308,4192.714286,1616.285714,148,4.571428571,53.42857143
1999,333.5714286,4090.428571,1763.571429,160.5714286,4,55.14285714
2000,325.2857143,4007,1840.857143,161.1428571,4,52
2001,333.8571429,4016.571429,1898.571429,170.5714286,4.428571429,50.71428571
2002,342.8571429,3986.428571,1931,174.1428571,4.142857143,51.14285714
2003,353.2857143,3867.285714,2018.857143,187.7142857,3.571428571,50.57142857
2004,360.7142857,3994.571429,2458.285714,199.7142857,3.142857143,48.28571429
2005,543.5714286,3910.428571,2536.857143,203.5714286,3,47.85714286
2006,548.5714286,3834.571429,2788.142857,217,3,46.42857143
2007,537.5714286,3863.142857,2812.285714,243.7142857,2.857142857,44.85714286
2008,536,3779.142857,2855.428571,251.4285714,2.285714286,47.28571429
2009,537.2857143,3711.428571,2907.428571,262.7142857,2,45.71428571
2010,531,3645.714286,2937.714286,259.1428571,2.571428571,44.71428571
2011,543.2857143,3446.428571,2494.142857,257.5714286,2.571428571,45.85714286
2012,361.8571429,3281,2625.571429,292.2857143,2.571428571,45.85714286
2013,364.2857143,3176,2256.571429,316.1428571,2.714285714,45.42857143
2014,369.7142857,3072.714286,2301,334,2.571428571,45.85714286
2015,357,2939.428571,2287.571429,338.5714286,2.857142857,42.14285714
2016,358.7142857,2888.285714,2228.285714,380.8571429,2.714285714,45
2017,357.1428571,2758.285714,2170.142857,458.2857143,2.714285714,47.85714286
2018,347.4285714,2668.285714,2302.285714,503.5714286,2.714285714,51.28571429
2019,346.5714286,2537.714286,2148.142857,517.7142857,2.714285714,49.85714286
2020,339.5714286,2422,2293.142857,553.1428571,2.285714286,50.85714286
2021,343.7142857,2267.428571,2172,609.7142857,2,54.57142857
2022,344.1428571,2227.142857,2126.285714,660.5714286,1.857142857,54.85714286
2023,356.4285714,2109.714286,2120.571429,645.5714286,1.714285714,53.57142857
2024,361.7142857,2004.428571,2145.571429,637.4285714,1.428571429,55.71428571
2025,363.5714286,1950.571429,2122.285714,667.8571429,1.285714286,60
2026,366,1905,2167.428571,693.1428571,1,63.28571429
2027,366.2857143,1859.571429,2094.714286,726.1428571,0.714285714,66.42857143
2028,361.4285714,1764.142857,2143.142857,731.8571429,0.714285714,66.14285714
2029,365.4285714,1726.714286,2074.142857,791.1428571,0.428571429,70.14285714
2030,347.2857143,1687.571429,2052.142857,807.5714286,0.428571429,71.71428571
2031,347,1646.714286,2003.428571,874.8571429,0.142857143,69.85714286
2032,350.2857143,1536.857143,1921.857143,893.1428571,0.142857143,68.42857143
2033,349.7142857,1516.857143,1854.428571,926.5714286,0.142857143,69.28571429
2034,356.1428571,1425,1878,975.7142857,0.142857143,68.42857143
2035,356.1428571,1421.571429,1827.857143,1005.142857,0.142857143,68
2036,369.2857143,1387.857143,1830.571429,961.5714286,0.142857143,67
2037,379.1428571,1326.428571,1775.428571,1022,0.285714286,69.14285714
2038,381.2857143,1251.285714,1736.857143,1053,0.285714286,71.42857143
2039,374.4285714,1190.571429,1720.571429,1081.428571,0.285714286,71.71428571
2040,381.4285714,1182.857143,1662.142857,1145.857143,0.285714286,76.71428571
2041,384.7142857,1123.571429,1642,1151.428571,0.428571429,78.42857143
2042,392.5714286,1083.714286,1613.714286,1170.428571,0.571428571,79.71428571
2043,389.2857143,979.2857143,1595.285714,1188.285714,0.571428571,82.85714286
2044,382.8571429,983,1574,1220.142857,0.428571429,92.42857143
2045,385.4285714,901.4285714,1480.142857,1202.714286,0.428571429,98.14285714
2046,402.2857143,882.5714286,1488.571429,1248.142857,0.428571429,99.85714286
2047,409.5714286,787.7142857,1480.285714,1239.571429,0.428571429,98.42857143
2048,433.2857143,792.1428571,1451.857143,1249,0.285714286,105.7142857
2049,452.7142857,767,1458.428571,1246.428571,0.142857143,116.2857143
2050,474.8571429,947.2857143,1468.857143,1236,0.142857143,126.1428571
2051,499.8571429,961.4285714,1494.285714,1201.571429,0.142857143,123.7142857
2052,521,970.8571429,1523.142857,1225.571429,0.142857143,129.2857143
2053,545.4285714,948,1549.571429,1280.285714,0,127.4285714
